"goods_nomenclature_sid";"goods_nomenclature_item_id";"producline_suffix";"validity_start_date";"leaf";"number_indents"
104455;"0201300039";"80";"2017-09-21 00:00:00";"1";3
104456;"0201300041";"10";"2017-09-21 00:00:00";"0";2
104459;"0201300041";"20";"2017-09-21 00:00:00";"0";3
104454;"0201300041";"80";"2017-09-21 00:00:00";"1";4
104457;"0201300049";"80";"2017-09-21 00:00:00";"1";4
27884;"0201300090";"80";"1972-01-01 00:00:00";"1";3
27885;"0202000000";"80";"1972-01-01 00:00:00";"0";0
27886;"0202100000";"80";"1972-01-01 00:00:00";"0";1
104293;"0202100011";"10";"2017-09-21 00:00:00";"0";2
104291;"0202100011";"80";"2017-09-21 00:00:00";"1";3
104292;"0202100015";"80";"2017-09-21 00:00:00";"1";3
104322;"0202100091";"10";"2017-09-21 00:00:00";"0";2
104323;"0202100091";"80";"2017-09-21 00:00:00";"1";3
104321;"0202100099";"80";"2017-09-21 00:00:00";"1";3
27889;"0202200000";"80";"1972-01-01 00:00:00";"0";1
27890;"0202201000";"80";"1972-01-01 00:00:00";"0";2
104324;"0202201011";"10";"2017-09-21 00:00:00";"0";3
104325;"0202201011";"80";"2017-09-21 00:00:00";"1";4
104327;"0202201015";"80";"2017-09-21 00:00:00";"1";4
104329;"0202201091";"10";"2017-09-21 00:00:00";"0";3
104326;"0202201091";"80";"2017-09-21 00:00:00";"1";4
104328;"0202201099";"80";"2017-09-21 00:00:00";"1";4
27893;"0202203000";"80";"1972-01-01 00:00:00";"0";2
104331;"0202203011";"10";"2017-09-21 00:00:00";"0";3
104334;"0202203011";"80";"2017-09-21 00:00:00";"1";4
104339;"0202203015";"80";"2017-09-21 00:00:00";"1";4
104340;"0202203081";"10";"2017-09-21 00:00:00";"0";3
104345;"0202203081";"20";"2017-09-21 00:00:00";"0";4
104346;"0202203081";"30";"2017-09-21 00:00:00";"0";5
104335;"0202203081";"80";"2017-09-21 00:00:00";"1";6
104341;"0202203082";"80";"2017-09-21 00:00:00";"1";6
104347;"0202203083";"10";"2017-09-21 00:00:00";"0";5
104336;"0202203083";"80";"2017-09-21 00:00:00";"1";6
104342;"0202203084";"80";"2017-09-21 00:00:00";"1";6
104349;"0202203085";"10";"2017-09-21 00:00:00";"0";5
104337;"0202203085";"80";"2017-09-21 00:00:00";"1";6
104343;"0202203086";"80";"2017-09-21 00:00:00";"1";6
104348;"0202203087";"10";"2017-09-21 00:00:00";"0";4
104338;"0202203087";"80";"2017-09-21 00:00:00";"1";5
104344;"0202203088";"80";"2017-09-21 00:00:00";"1";5
27898;"0202205000";"80";"1972-01-01 00:00:00";"0";2
104356;"0202205011";"10";"2017-09-21 00:00:00";"0";3
104357;"0202205011";"80";"2017-09-21 00:00:00";"1";4
