Commodity,Suffix,Start,End,Description,Indents
43361,6204631810,80,1992-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43362,6204631890,80,1992-01-01 00:00:00,,Other
43367,6204633100,80,1972-01-01 00:00:00,,Industrial and occupational
43369,6204633910,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43370,6204633990,80,1972-01-01 00:00:00,,Other
43372,6204639010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43373,6204639090,80,1972-01-01 00:00:00,,Other
43377,6204691100,80,1972-01-01 00:00:00,,Industrial and occupational
43379,6204691810,80,1992-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43380,6204691890,80,1992-01-01 00:00:00,,Other
43385,6204693100,80,1972-01-01 00:00:00,,Industrial and occupational
43387,6204693910,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43388,6204693990,80,1972-01-01 00:00:00,,Other
43390,6204695010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43391,6204695090,80,1972-01-01 00:00:00,,Other
43393,6204699010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43394,6204699090,80,1972-01-01 00:00:00,,Other
43398,6205200010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43399,6205200090,80,1972-01-01 00:00:00,,Other
43400,6205300000,80,1972-01-01 00:00:00,,Of man-made fibres
43403,6205901010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43404,6205901090,80,1972-01-01 00:00:00,,Other
43407,6206100000,80,1972-01-01 00:00:00,,Of silk or silk waste
43408,6206200000,80,1972-01-01 00:00:00,,Of wool or fine animal hair
43410,6206300010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43411,6206300090,80,1972-01-01 00:00:00,,Other
43412,6206400000,80,1972-01-01 00:00:00,,Of man-made fibres
43415,6206901010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43416,6206901090,80,1972-01-01 00:00:00,,Other
43417,6206909000,80,1972-01-01 00:00:00,,Of other textile materials
43420,6207110000,80,1972-01-01 00:00:00,,Of cotton
43421,6207190000,80,1972-01-01 00:00:00,,Of other textile materials
43425,6207210000,80,1972-01-01 00:00:00,,Of cotton
43426,6207220000,80,1972-01-01 00:00:00,,Of man-made fibres
43427,6207290000,80,1972-01-01 00:00:00,,Of other textile materials
43448,6208110000,80,1972-01-01 00:00:00,,Of man-made fibres
43449,6208190000,80,1972-01-01 00:00:00,,Of other textile materials
43456,6208220000,80,1972-01-01 00:00:00,,Of man-made fibres
43457,6208290000,80,1972-01-01 00:00:00,,Of other textile materials
43471,6208920000,80,1972-01-01 00:00:00,,Of man-made fibres
43479,6208990091,80,1994-03-13 00:00:00,,"Hand-printed by the ""batik"" method"
43480,6208990099,80,1994-03-13 00:00:00,,Other
43487,6209200010,80,1972-01-01 00:00:00,,"Gloves, mittens and mitts"
43488,6209200020,80,1972-01-01 00:00:00,,"Stockings, socks and sockettes"
43489,6209200090,80,1972-01-01 00:00:00,,Other
43491,6209300010,80,1972-01-01 00:00:00,,"Gloves, mittens and mitts"
43492,6209300020,80,1972-01-01 00:00:00,,"Stockings, socks and sockettes"
43493,6209300090,80,1972-01-01 00:00:00,,Other
43500,6210101000,80,1972-01-01 00:00:00,,Of fabrics of heading|5602
43508,6210200000,80,1972-01-01 00:00:00,,"Other garments, of the type described in subheadings|6201|11|to 6201|19"
