Measure SID,Order number,Measure type,Start date,End date,Geo,Commodity,additional_code_type_id,additional_code_id,reduction_indicator,measure_generating_regulation_role,measure_generating_regulation_id,justification_regulation_role,justification_regulation_id,stopped_flag,geographical_area_sid,goods_nomenclature_sid,additional_code_sid,export_refund_nomenclature_sid
2998667,094422,122,2007-11-30 00:00:00,,1011,0207271000,,,,1,R0713850,,,False,400,59264,,
2998668,094422,122,2007-11-30 00:00:00,,1011,0207272000,,,,1,R0713850,,,False,400,59266,,
2998669,094422,122,2007-11-30 00:00:00,,1011,0207278000,,,,1,R0713850,,,False,400,59273,,
3011963,094182,122,2008-01-01 00:00:00,,NZ,0405101120,,,,4,R0715650,,,False,425,71671,,
3011964,094195,122,2008-01-01 00:00:00,,NZ,0405101120,,,,4,R0715650,,,False,425,71671,,
3011965,094195,122,2008-01-01 00:00:00,,NZ,0405101920,,,,4,R0715650,,,False,425,71672,,
3011966,094182,122,2008-01-01 00:00:00,,NZ,0405101920,,,,4,R0715650,,,False,425,71672,,
3011967,094182,122,2008-01-01 00:00:00,,NZ,0405103020,,,,4,R0715650,,,False,425,71673,,
3011968,094195,122,2008-01-01 00:00:00,,NZ,0405103020,,,,4,R0715650,,,False,425,71673,,
3016337,094157,122,2008-02-10 00:00:00,,CN,0711510000,,,,4,R0801130,,,False,439,72881,,
3016342,094193,122,2008-02-10 00:00:00,,CN,0711510000,,,,4,R0801130,,,False,439,72881,,
3016347,094193,122,2008-02-10 00:00:00,,CN,2003102000,,,,4,R0801130,,,False,439,33530,,
3016348,094157,122,2008-02-10 00:00:00,,CN,2003102000,,,,4,R0801130,,,False,439,33530,,
3016349,094157,122,2008-02-10 00:00:00,,CN,2003103000,,,,4,R0801130,,,False,439,33535,,
3016350,094193,122,2008-02-10 00:00:00,,CN,2003103000,,,,4,R0801130,,,False,439,33535,,
3030797,094057,122,2008-07-01 00:00:00,,1011,0202309070,,,,1,R0804120,,,False,400,63722,,
3030798,094058,122,2008-07-01 00:00:00,,1011,0202309075,,,,1,R0804120,,,False,400,63726,,
3031017,094003,122,2008-07-01 00:00:00,,1011,0202100000,,,,1,R0804310,,,False,400,27886,,
3031018,094003,122,2008-07-01 00:00:00,,1011,0202201000,,,,1,R0804310,,,False,400,27890,,
3031021,094003,122,2008-07-01 00:00:00,,1011,0202205000,,,,1,R0804310,,,False,400,27898,,
3031022,094003,122,2008-07-01 00:00:00,,1011,0202209000,,,,1,R0804310,,,False,400,27901,,
3031029,094003,122,2008-07-01 00:00:00,,1011,0202309090,,,,1,R0804310,,,False,400,63717,,
3101604,094170,122,2009-07-01 00:00:00,,US,0203195530,,,,1,R0904420,,,False,103,59043,,
3101605,094170,122,2009-07-01 00:00:00,,US,0203295592,,,,1,R0904420,,,False,103,59044,,
3101606,094170,122,2009-07-01 00:00:00,,US,0203195515,,,,1,R0904420,,,False,103,85025,,
3101607,094170,122,2009-07-01 00:00:00,,US,0203295520,,,,1,R0904420,,,False,103,85035,,
3101608,094170,122,2009-07-01 00:00:00,,US,0203195525,,,,1,R0904420,,,False,103,85026,,
3101609,094170,122,2009-07-01 00:00:00,,US,0203295530,,,,1,R0904420,,,False,103,85036,,
3101799,094038,122,2009-07-01 00:00:00,,1011,0203195530,,,,1,R0904420,,,False,400,59043,,
3101800,094038,122,2009-07-01 00:00:00,,1011,0203295592,,,,1,R0904420,,,False,400,59044,,
