UNB+XXIB:1+CEC/XXI/B5+               GB+16092018:2000+TARIC'
UNH+TGBGB18116+8116'
001605172643000+00000161103639823490   10110702000000           200620181R1708920200620181R170892000000040000030256                '
001605185743000+00001002303642502552   10118541409041B877       010720184R17157000000000000000000000000040000103306   12374        '
001605185843000+00001013303641606552   10118541409041B878       010720184R17157000000000000000000000000040000103306   12375        '
001605185943000+00001024303642790552   10118541409041B879       010720184R17157000000000000000000000000040000103306   12308        '
001605186043000+00001035303641638552   10118541409041B881       010720184R17157000000000000000000000000040000103306   12310        '
001605186143000+00001046303641670552   10118541409041B882       010720184R17157000000000000000000000000040000103306   12311        '
001605186243000+00001057303642822552   10118541409041B883       010720184R17157000000000000000000000000040000103306   12312        '
001605186343000+00001068303641702552   10118541409041B884       010720184R17157000000000000000000000000040000103306   12313        '
001605186443000+00001079303641734552   10118541409041B885       010720184R17157000000000000000000000000040000103306   12425        '
001605186543000+00001090303641766552   10118541409041B886       010720184R17157000000000000000000000000040000103306   12315        '
001605186643000+00001101303641798552   10118541409041B889       010720184R17157000000000000000000000000040000103306   12318        '
001605186743000+00001112303642872552   10118541409041B891       010720184R17157000000000000000000000000040000103306   12320        '
001605186843000+00001123303641830552   10118541409041B892       010720184R17157000000000000000000000000040000103306   12321        '
001605186943000+00001134303641862552   10118541409041B893       010720184R17157000000000000000000000000040000103306   12322        '
001605187043000+00001145303641894552   10118541409041B896       010720184R17157000000000000000000000000040000103306   12326        '
001605187143000+00001156303641926552   10118541409041B897       010720184R17157000000000000000000000000040000103306   12327        '
001605187243000+00001167303641958552   10118541409041B898       010720184R17157000000000000000000000000040000103306   12328        '
001605187343000+00001178303641990552   10118541409041B900       010720184R17157000000000000000000000000040000103306   12385        '
001605187443000+00001189303642022552   10118541409041B902       010720184R17157000000000000000000000000040000103306   12331        '
001605187543000+00001200303642904552   10118541409041B903       010720184R17157000000000000000000000000040000103306   12332        '
001605187643000+00001211303642054552   10118541409041B904       010720184R17157000000000000000000000000040000103306   12333        '
001605187743000+00001222303642086552   10118541409041B905       010720184R17157000000000000000000000000040000103306   12334        '
001605187843000+00001233303642118552   10118541409041B906       010720184R17157000000000000000000000000040000103306   12335        '
001605187943000+00001244303642150552   10118541409041B907       010720184R17157000000000000000000000000040000103306   12336        '
001605188043000+00001255303642182552   10118541409041B908       010720184R17157000000000000000000000000040000103306   12337        '
001605188143000+00001266303642214552   10118541409041B910       010720184R17157000000000000000000000000040000103306   12426        '
001605188243000+00001277303642246552   10118541409041B911       010720184R17157000000000000000000000000040000103306   12340        '
001605188343000+00001288303642278552   10118541409041B912       010720184R17157000000000000000000000000040000103306   12341        '
001605188443000+00001299303642310552   10118541409041B914       010720184R17157000000000000000000000000040000103306   12343        '
001605188543000+00001310303642936552   10118541409041B915       010720184R17157000000000000000000000000040000103306   12344        '
001605188643000+00001321303642342552   10118541409041B916       010720184R17157000000000000000000000000040000103306   12345        '
001605188743000+00001332303642374552   10118541409041B917       010720184R17157000000000000000000000000040000103306   12346        '
001605188843000+00001343303642406552   10118541409041B918       010720184R17157000000000000000000000000040000103306   12427        '
001605188943000+00001354303642438552   10118541409041B920       010720184R17157000000000000000000000000040000103306   12349        '
001605189043000+00001365303642470552   10118541409041B922       010720184R17157000000000000000000000000040000103306   12351        '
001605189143000+00001376303639681552   10118541409051B791       010720184R17157000000000000000000000000040000103311   12420        '
001605189243000+00001387303639697552   10118541409051B792       010720184R17157000000000000000000000000040000103311   12376        '
001605189343000+00001398303639717552   10118541409051B793       010720184R17157000000000000000000000000040000103311   12378        '
001605189443000+00001409303639729552   10118541409051B794       010720184R17157000000000000000000000000040000103311   12379        '
001605189543000+00001420303639761552   10118541409051B796       010720184R17157000000000000000000000000040000103311   12381        '
001605189643000+00001431303639777552   10118541409051B797       010720184R17157000000000000000000000000040000103311   12382        '
001605189743000+00001442303639815552   10118541409051B798       010720184R17157000000000000000000000000040000103311   12246        '
001605189843000+00001453303642535552   10118541409051B800       010720184R17157000000000000000000000000040000103311   12248        '
001605189943000+00001464303639799552   10118541409051B801       010720184R17157000000000000000000000000040000103311   12249        '
001605190043000+00001475303639975552   10118541409051B802       010720184R17157000000000000000000000000040000103311   12250        '
001605190143000+00001486303642567552   10118541409051B803       010720184R17157000000000000000000000000040000103311   12251        '
001605190243000+00001497303642599552   10118541409051B804       010720184R17157000000000000000000000000040000103311   12252        '
001605190343000+00001508303642631552   10118541409051B806       010720184R17157000000000000000000000000040000103311   12255        '
001605190443000+00001519303640007552   10118541409051B807       010720184R17157000000000000000000000000040000103311   12256        '
001605190543000+00001530303640039552   10118541409051B809       010720184R17157000000000000000000000000040000103311   12258        '
001605190643000+00001541303640071552   10118541409051B811       010720184R17157000000000000000000000000040000103311   12260        '
001605190743000+00001552303640103552   10118541409051B812       010720184R17157000000000000000000000000040000103311   12261        '
001605190843000+00001563303640135552   10118541409051B813       010720184R17157000000000000000000000000040000103311   12262        '
001605190943000+00001574303640167552   10118541409051B814       010720184R17157000000000000000000000000040000103311   12263        '
001605191043000+00001585303640199552   10118541409051B816       010720184R17157000000000000000000000000040000103311   12265        '
001605191143000+00001596303640231552   10118541409051B817       010720184R17157000000000000000000000000040000103311   12421        '
001605191243000+00001607303642969552   10118541409051B818       010720184R17157000000000000000000000000040000103311   12267        '
001605191343000+00001618303640263552   10118541409051B820       010720184R17157000000000000000000000000040000103311   12269        '
001605191443000+00001629303642663552   10118541409051B821       010720184R17157000000000000000000000000040000103311   12428        '
001605191543000+00001640303640295552   10118541409051B822       010720184R17157000000000000000000000000040000103311   12271        '
001605191643000+00001651303640327552   10118541409051B824       010720184R17157000000000000000000000000040000103311   12423        '
