1604160000,01,25,,,
1604191000,01,7,,,
1604193100,01,24,,,
1604193900,01,24,,,
1604195000,01,12.5,,,
1604199100,01,7.5,,,
1604199200,01,20,,,
1604199300,01,20,,,
1604199400,01,20,,,
1604199500,01,20,,,
1604199700,01,20,,,
1604200500,01,20,,,
1604201000,01,5.5,,,
1604203000,01,7,,,
1604204000,01,25,,,
1604205000,01,25,,,
1604207000,01,24,,,
1604209000,01,14,,,
1605210000,01,20,,,
1605210000,01,20,,,
1701131000,01,33.9,EUR,DTN,R
1701139000,01,41.9,EUR,DTN,
1701141000,01,33.9,EUR,DTN,R
1701149000,01,41.9,EUR,DTN,
1701990000,01,41.9,EUR,DTN,
1701990000,01,41.9,EUR,DTN,
1703000000,01,1.498,,,
1803000000,01,9.6,,,
1804000000,01,7.7,,,
1902209900,01,8.3,,,
1902209900,04,17.1,EUR,DTN,
2204291000,01,32,EUR,HLT,
2204292210,01,12.1,EUR,HLT,
2204292290,01,12.1,EUR,HLT,
2204292310,01,12.1,EUR,HLT,
2204292390,01,12.1,EUR,HLT,
2204292410,01,12.1,EUR,HLT,
2204292490,01,12.1,EUR,HLT,
2204292610,01,12.1,EUR,HLT,
2204292690,01,12.1,EUR,HLT,
2204292710,01,12.1,EUR,HLT,
2204292790,01,12.1,EUR,HLT,
2204292810,01,12.1,EUR,HLT,
2204292890,01,12.1,EUR,HLT,
2204293210,01,12.1,EUR,HLT,
2204293290,01,12.1,EUR,HLT,
2204293810,01,12.1,EUR,HLT,
2204293890,01,12.1,EUR,HLT,
2204297810,01,12.1,EUR,HLT,
2204297890,01,12.1,EUR,HLT,
2204297910,01,12.1,EUR,HLT,
2204297990,01,12.1,EUR,HLT,
2204298010,01,12.1,EUR,HLT,
2204298090,01,12.1,EUR,HLT,
2204298110,01,12.1,EUR,HLT,
2204298190,01,12.1,EUR,HLT,
2204298210,01,12.1,EUR,HLT,
2204298290,01,12.1,EUR,HLT,
2204298310,01,12.1,EUR,HLT,
2204298390,01,12.1,EUR,HLT,
2204298410,01,12.1,EUR,HLT,
2204298490,01,12.1,EUR,HLT,
2204298510,01,13.1,EUR,HLT,
2204298590,01,13.1,EUR,HLT,
2204298599,01,13.1,EUR,HLT,
2204298610,01,13.1,EUR,HLT,
2204298690,01,13.1,EUR,HLT,
2204298699,01,13.1,EUR,HLT,
2204298810,01,20.9,EUR,HLT,
2204298890,01,20.9,EUR,HLT,
2204298899,01,20.9,EUR,HLT,
2204299010,01,20.9,EUR,HLT,
2204299090,01,20.9,EUR,HLT,
2204299099,01,20.9,EUR,HLT,
2204299110,01,20.9,EUR,HLT,
2204299190,01,20.9,EUR,HLT,
2204299199,01,20.9,EUR,HLT,
2204299310,01,20.9,EUR,HLT,
2204299320,01,20.9,EUR,HLT,
2204299330,01,20.9,EUR,HLT,
2204299340,01,20.9,EUR,HLT,
2204299390,01,20.9,EUR,HLT,
2204299411,01,20.9,EUR,HLT,
2204299421,01,20.9,EUR,HLT,
2204299431,01,20.9,EUR,HLT,
2204299441,01,20.9,EUR,HLT,
2204299451,01,20.9,EUR,HLT,
2204299461,01,20.9,EUR,HLT,
2204299471,01,20.9,EUR,HLT,
2204299481,01,20.9,EUR,HLT,
2204299491,01,20.9,EUR,HLT,
2204299495,01,20.9,EUR,HLT,
2204299510,01,20.9,EUR,HLT,
2204299520,01,20.9,EUR,HLT,
2204299530,01,20.9,EUR,HLT,
2204299540,01,20.9,EUR,HLT,
2204299590,01,20.9,EUR,HLT,
2204299611,01,20.9,EUR,HLT,
2204299621,01,20.9,EUR,HLT,
2204299631,01,20.9,EUR,HLT,
2204299641,01,20.9,EUR,HLT,
2204299651,01,20.9,EUR,HLT,
2204299661,01,20.9,EUR,HLT,
2204299671,01,20.9,EUR,HLT,
2204299681,01,20.9,EUR,HLT,
2204299691,01,20.9,EUR,HLT,
2204299695,01,20.9,EUR,HLT,
2204299710,01,20.9,EUR,HLT,
2204299720,01,20.9,EUR,HLT,
2204299730,01,20.9,EUR,HLT,
2204299740,01,20.9,EUR,HLT,
2204299790,01,20.9,EUR,HLT,
2204299811,01,20.9,EUR,HLT,
2204299821,01,20.9,EUR,HLT,
2204299831,01,20.9,EUR,HLT,
2204299841,01,20.9,EUR,HLT,
2204299851,01,20.9,EUR,HLT,
2204299861,01,20.9,EUR,HLT,
2204299871,01,20.9,EUR,HLT,
2204299881,01,20.9,EUR,HLT,
2204299891,01,20.9,EUR,HLT,
2204299895,01,20.9,EUR,HLT,
2206001000,01,1.3,EUR,ASV,X
2206001000,15,7.2,EUR,HLT,
2206003100,01,19.2,EUR,HLT,
2206003900,01,19.2,EUR,HLT,
