measure_sid,goods_nomenclature_item_id,duty_expression_id,duty_amount,monetary_unit_code,measurement_unit_code,measurement_unit_qualifier_code
5139810,0204221010,04,119.9,EUR,DTN,
5139811,0204221090,01,12.8,,,
5139811,0204221090,04,119.9,EUR,DTN,
5139813,0204223010,01,12.8,,,
5139813,0204223010,04,188.5,EUR,DTN,
5139814,0204223090,01,12.8,,,
5139814,0204223090,04,188.5,EUR,DTN,
5139816,0204225010,01,12.8,,,
5139816,0204225010,04,222.7,EUR,DTN,
5139817,0204225090,01,12.8,,,
5139817,0204225090,04,222.7,EUR,DTN,
5139819,0204229010,01,12.8,,,
5139819,0204229010,04,222.7,EUR,DTN,
5139820,0204229090,01,12.8,,,
5139820,0204229090,04,222.7,EUR,DTN,
5139823,0204230011,01,12.8,,,
5139823,0204230011,04,311.8,EUR,DTN,
5139824,0204230019,01,12.8,,,
5139824,0204230019,04,311.8,EUR,DTN,
5139826,0204230091,01,12.8,,,
5139826,0204230091,04,311.8,EUR,DTN,
5139827,0204230099,01,12.8,,,
5139827,0204230099,04,311.8,EUR,DTN,
5139829,0204300010,01,12.8,,,
5139829,0204300010,04,128.8,EUR,DTN,
5139830,0204300090,01,12.8,,,
5139830,0204300090,04,128.8,EUR,DTN,
5139833,0204410010,01,12.8,,,
5139833,0204410010,04,128.8,EUR,DTN,
5139834,0204410090,01,12.8,,,
5139834,0204410090,04,128.8,EUR,DTN,
5139837,0204421010,01,12.8,,,
5139837,0204421010,04,90.2,EUR,DTN,
5139838,0204421090,01,12.8,,,
5139838,0204421090,04,90.2,EUR,DTN,
5139840,0204423010,01,12.8,,,
5139840,0204423010,04,141.7,EUR,DTN,
5139841,0204423090,01,12.8,,,
5139841,0204423090,04,141.7,EUR,DTN,
5139843,0204425010,01,12.8,,,
5139843,0204425010,04,167.5,EUR,DTN,
5139844,0204425090,01,12.8,,,
5139844,0204425090,04,167.5,EUR,DTN,
5139846,0204429010,01,12.8,,,
5139846,0204429010,04,167.5,EUR,DTN,
5139847,0204429090,01,12.8,,,
5139847,0204429090,04,167.5,EUR,DTN,
5139850,0204431010,01,12.8,,,
5139850,0204431010,04,234.5,EUR,DTN,
5139851,0204431090,01,12.8,,,
5139851,0204431090,04,234.5,EUR,DTN,
5139853,0204439010,01,12.8,,,
5139853,0204439010,04,234.5,EUR,DTN,
5139854,0204439090,01,12.8,,,
5139854,0204439090,04,234.5,EUR,DTN,
5139857,0204501100,01,12.8,,,
5139857,0204501100,04,171.3,EUR,DTN,
5139858,0204501300,01,12.8,,,
5139858,0204501300,04,119.9,EUR,DTN,
5139859,0204501500,01,12.8,,,
5139859,0204501500,04,188.5,EUR,DTN,
5139860,0204501900,01,12.8,,,
5139860,0204501900,04,222.7,EUR,DTN,
5139862,0204503100,01,12.8,,,
5139862,0204503100,04,222.7,EUR,DTN,
5139864,0204503910,01,12.8,,,
5139864,0204503910,04,311.8,EUR,DTN,
5139865,0204503990,01,12.8,,,
5139865,0204503990,04,311.8,EUR,DTN,
5139867,0204505100,01,12.8,,,
5139867,0204505100,04,128.8,EUR,DTN,
5139868,0204505300,01,12.8,,,
5139868,0204505300,04,90.2,EUR,DTN,
5139869,0204505500,01,12.8,,,
5139869,0204505500,04,141.7,EUR,DTN,
5139870,0204505900,01,12.8,,,
5139870,0204505900,04,167.5,EUR,DTN,
5139872,0204507100,01,12.8,,,
5139872,0204507100,04,167.5,EUR,DTN,
5139874,0204507910,01,12.8,,,
5139874,0204507910,04,234.5,EUR,DTN,
5139875,0204507990,01,12.8,,,
5139875,0204507990,04,234.5,EUR,DTN,
5139877,0205002000,01,0,,,
5139878,0205008000,01,0,,,
5139881,0206101000,01,0,,,
5139885,0206109511,01,6.8,,,
5139885,0206109511,04,160.1,EUR,DTN,
5139886,0206109515,01,6.8,,,
5139886,0206109515,04,160.1,EUR,DTN,
5139888,0206109591,01,6.8,,,
5139888,0206109591,04,160.1,EUR,DTN,
5139889,0206109599,01,6.8,,,
5139889,0206109599,04,160.1,EUR,DTN,
5139890,0206109800,01,0,,,
5139892,0206210000,01,0,,,
5139893,0206220000,01,0,,,
5139895,0206291000,01,0,,,
5139900,0206299111,01,6.8,,,
