"098633","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,CN,EG,ID,IN,MD,MK,MX,RU,TH,TR,VN,ZA","2019-04-13","Steel safeguards category 16 - Non Alloy and Other Alloy Wire Rod for Other countries - 9 months",""
"098214","N1900350","FCFS","122 Non preferential tariff quota","EU","","2019-04-13","Steel safeguards category 17 - Angles, Shapes and Sections of Iron or Non Alloy Steel for EU","Y"
"098636","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BY,CN,EG,ID,IN,MD,MK,MX,RU,TH,TR,UA,VN,ZA","2019-04-13","Steel safeguards category 17 - Angles, Shapes and Sections of Iron or Non Alloy Steel for Other countries - 3 months",""
"098635","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BY,CN,EG,ID,IN,MD,MK,MX,RU,TH,TR,UA,VN,ZA","2019-04-13","Steel safeguards category 17 - Angles, Shapes and Sections of Iron or Non Alloy Steel for Other countries - 9 months",""
"098907","N1900350","FCFS","122 Non preferential tariff quota","CN","","2019-04-13","Steel safeguards category 19 - Railway Material for China",""
"098215","N1900350","FCFS","122 Non preferential tariff quota","EU","","2019-04-13","Steel safeguards category 19 - Railway Material for EU","Y"
"098640","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,EG,ID,IN,MD,MK,MX,RU,TH,TR,UA,VN,ZA","2019-04-13","Steel safeguards category 19 - Railway Material for Other countries - 3 months",""
"098639","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,EG,ID,IN,MD,MK,MX,RU,TH,TR,UA,VN,ZA","2019-04-13","Steel safeguards category 19 - Railway Material for Other countries - 9 months",""
"098216","N1900350","FCFS","122 Non preferential tariff quota","EU","","2019-04-13","Steel safeguards category 20 - Gas Pipes for EU","Y"
"098912","N1900350","FCFS","122 Non preferential tariff quota","IN","","2019-04-13","Steel safeguards category 20 - Gas Pipes for India",""
"098642","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,CN,EG,ID,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 20 - Gas Pipes for Other countries - 3 months",""
"098641","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,CN,EG,ID,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 20 - Gas Pipes for Other countries - 9 months",""
"098911","N1900350","FCFS","122 Non preferential tariff quota","TR","","2019-04-13","Steel safeguards category 20 - Gas Pipes for Turkey",""
"098217","N1900350","FCFS","122 Non preferential tariff quota","EU","","2019-04-13","Steel safeguards category 21 - Hollow sections for EU","Y"
"098644","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,CN,EG,ID,IN,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 21 - Hollow sections for Other countries - 3 months",""
"098643","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,CN,EG,ID,IN,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 21 - Hollow sections for Other countries - 9 months",""
"098916","N1900350","FCFS","122 Non preferential tariff quota","TR","","2019-04-13","Steel safeguards category 21 - Hollow sections for Turkey",""
"098218","N1900350","FCFS","122 Non preferential tariff quota","EU","","2019-04-13","Steel safeguards category 25 - Large welded tubes for EU","Y"
"098220","N1900350","FCFS","122 Non preferential tariff quota","JP","","2019-04-13","Steel safeguards category 25 - Large welded tubes for Japan","Y"
"098219","N1900350","FCFS","122 Non preferential tariff quota","KR","","2019-04-13","Steel safeguards category 25 - Large welded tubes for Korea","Y"
"098650","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,CN,EG,ID,IN,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 25 - Large welded tubes for Other countries - 3 months",""
"098649","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,CN,EG,ID,IN,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 25 - Large welded tubes for Other countries - 9 months",""
"098949","N1900350","FCFS","122 Non preferential tariff quota","CN","","2019-04-13","Steel safeguards category 26 - Other Welded Pipes for China",""
"098221","N1900350","FCFS","122 Non preferential tariff quota","EU","","2019-04-13","Steel safeguards category 26 - Other Welded Pipes for EU","Y"
"098222","N1900350","FCFS","122 Non preferential tariff quota","NO","","2019-04-13","Steel safeguards category 26 - Other Welded Pipes for Norway","Y"
"098652","N1900350","FCFS","122 Non preferential tariff quota","5002","BR,BY,EG,ID,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 26 - Other Welded Pipes for Other countries - 3 months",""
"098651","N1900350","FCFS","122 Non preferential tariff quota","5002","BR,BY,EG,ID,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 26 - Other Welded Pipes for Other countries - 9 months",""
"098947","N1900350","FCFS","122 Non preferential tariff quota","TR","","2019-04-13","Steel safeguards category 26 - Other Welded Pipes for Turkey",""
"098948","N1900350","FCFS","122 Non preferential tariff quota","AE","","2019-04-13","Steel safeguards category 26 - Other Welded Pipes for UAE",""
"098223","N1900350","FCFS","122 Non preferential tariff quota","EU","","2019-04-13","Steel safeguards category 27 - Non-Alloy and other alloy cold finished bars for EU","Y"
"098654","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,EG,ID,IN,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 27 - Non-Alloy and other alloy cold finished bars for Other countries - 3 months",""
"098653","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,EG,ID,IN,MD,MK,MX,RU,TH,UA,VN,ZA","2019-04-13","Steel safeguards category 27 - Non-Alloy and other alloy cold finished bars for Other countries - 9 months",""
"098956","N1900350","FCFS","122 Non preferential tariff quota","RU","","2019-04-13","Steel safeguards category 27 - Non-Alloy and other alloy cold finished bars for Russia",""
"098224","N1900350","FCFS","122 Non preferential tariff quota","TR","","2019-04-13","Steel safeguards category 27 - Non-Alloy and other alloy cold finished bars for Turkey","Y"
"098962","N1900350","FCFS","122 Non preferential tariff quota","CN","","2019-04-13","Steel safeguards category 28 - Non Alloy Wire for China",""
"098225","N1900350","FCFS","122 Non preferential tariff quota","EU","","2019-04-13","Steel safeguards category 28 - Non Alloy Wire for EU","Y"
"098656","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,EG,ID,IN,MD,MK,MX,RU,UA,VN","2019-04-13","Steel safeguards category 28 - Non Alloy Wire for Other countries - 3 months",""
"098655","N1900350","FCFS","122 Non preferential tariff quota","5002","AE,BR,BY,EG,ID,IN,MD,MK,MX,RU,UA,VN","2019-04-13","Steel safeguards category 28 - Non Alloy Wire for Other countries - 9 months",""
"098227","N1900350","FCFS","122 Non preferential tariff quota","ZA","","2019-04-13","Steel safeguards category 28 - Non Alloy Wire for South Africa","Y"
"098226","N1900350","FCFS","122 Non preferential tariff quota","TH","","2019-04-13","Steel safeguards category 28 - Non Alloy Wire for Thailand","Y"
"098964","N1900350","FCFS","122 Non preferential tariff quota","TR","","2019-04-13","Steel safeguards category 28 - Non Alloy Wire for Turkey",""

